Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Log Votes,Rating Score,Popularity Score,Performance Score,Performance Segment,Digital Adoption,Value Score,Performance_Normalized,Value_Normalized,Popularity_Normalized,Digital_Score,Opportunity Score,Customer Engagement Segment,Customer Opportunity
6317637,Le Petit Souffle,162,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,"French, Japanese, Desserts",1100.0,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,5.752572638825633,0.9677419354838708,0.5387491070230603,0.7961448040995466,High Performer,One Service,0.977009476252272,0.7865854077270877,0.9671754107107416,0.5387491070230603,0.5,0.7482073373223151,High Engagement,Customer Favorite
6304287,Izakaya Kikufuji,162,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,Japanese,1200.0,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,6.3835066348840055,0.8709677419354835,0.6207920888265965,0.7708974806919288,High Performer,One Service,0.9092300404402728,0.7573814142332014,0.8703989717897778,0.6207920888265965,0.5,0.7253616042838731,High Engagement,Customer Favorite
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000.0,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,5.602118820879701,0.8387096774193548,0.5191849688958947,0.7108997940099707,High Performer,One Service,0.8855993860914024,0.6879811050115334,0.8366587886522394,0.5191849688958947,0.5,0.6706280171288874,High Engagement,Customer Favorite
6318506,Ooma,162,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi",1500.0,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,5.902633333401366,0.9999999999999998,0.5582621256770177,0.8233048502708069,High Performer,Neither,0.9994401201010508,0.8180018790445902,0.9992022018514986,0.5582621256770177,0.0,0.6977137433564596,High Engagement,Customer Favorite
6314302,Sambo Kojin,162,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",1500.0,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,5.438079308923196,0.9677419354838708,0.4978542262531041,0.779786851791564,High Performer,One Service,0.9768594749397604,0.7676638957290483,0.9669612367111438,0.4978542262531041,0.5,0.7333415797691307,High Engagement,Customer Favorite
18189371,Din Tai Fung,162,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056314,14.583764,Chinese,1000.0,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,5.820082930352362,0.8387096774193548,0.5475277521014377,0.7222369072921879,High Performer,Neither,0.8867243959352386,0.7010949300767848,0.8382650936492222,0.5475277521014377,0.0,0.6063683040419289,High Engagement,Customer Favorite
6300781,Buffet 101,162,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9796667,14.53133333,"Asian, European",2000.0,Botswana Pula(P),Yes,No,No,No,4,4.0,Green,Very Good,520,6.255750041753367,0.7096774193548385,0.6041793656083518,0.6674781978562438,High Performer,One Service,0.7960268120087984,0.6377546318486405,0.7087657980888091,0.6041793656083518,0.5,0.6316797336953373,High Engagement,Customer Favorite
6301290,Vikings,162,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European",2000.0,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,6.519147287940395,0.7741935483870965,0.638430009274769,0.7198881327421656,High Performer,One Service,0.8411881023313791,0.6983780639928037,0.7732477283695185,0.638430009274769,0.5,0.6790926427632906,High Engagement,Customer Favorite
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,"European, Asian, Indian",6000.0,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,6.432940092739179,0.9999999999999998,0.6272201277476799,0.8508880510990718,High Performer,One Service,0.9977526053352964,0.8499078203011654,0.9967927443560244,0.6272201277476799,0.5,0.796949585961751,High Engagement,Customer Favorite
6314987,Locavore,162,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,Filipino,1100.0,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,6.278521424165844,0.9677419354838708,0.6071404235392601,0.8235013307060265,High Performer,One Service,0.977009476252272,0.818229151189807,0.9671754107107416,0.6071404235392601,0.5,0.7729609108375068,High Engagement,Customer Favorite
6309903,Silantro Fil-Mex,162,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,6.976348070447749,0.9999999999999998,0.697881735943723,0.8791526943774891,High Performer,Neither,0.9997026223979458,0.8826019972276928,0.9995770063507944,0.697881735943723,0.0,0.7483601481236755,High Engagement,Customer Favorite
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06082,14.570849,"American, Ice Cream, Desserts",900.0,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,6.192362489474872,0.7741935483870965,0.595936817527817,0.7028908560433847,High Performer,One Service,0.8416006059407857,0.6787170349755571,0.7738367068684122,0.595936817527817,0.5,0.663889337807532,High Engagement,Customer Favorite
6318433,Silantro Fil-Mex,162,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"Filipino, Mexican",800.0,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,5.68697535633982,0.9677419354838708,0.5302192184975305,0.7927328486893346,High Performer,Neither,0.9771219772366556,0.782638742886917,0.96733604121044,0.5302192184975305,0.0,0.6701682160730591,High Engagement,Customer Favorite
